WOL;YWOL;Illawarra Regional Airport;-34.5611111111, 150.788611111
NGA;YYNG;Young Airport;-34.2555555556, 148.248055556
ASP;YBAS;Alice Springs Airport;-23.8069444444, 133.902222222
BRT;YBTI;Bathurst Island Airport;-11.7692, 130.62
CKI;YCKI;Croker Island Airport;-11.165, 132.48333333
ELC;YELD;Elcho Island Airport;-12.02, 135.57
LEL;YLEV;Lake Evella Airport;-12.4983333333, 135.805
GTE;YGTE;Groote Eylandt Airport;-13.975, 136.46
KFG;YKKG;Kalkgurung Airport;-17.4319444444, 130.808055556
HOK;YHOO;Hooker Creek Airport;-18.3366666667, 130.643333333
MNG;YMGD;Maningrida Airport;-12.0561111111, 134.234166667
SNB;YSNB;Snake Bay Airport;-11.4227777778, 130.653611111
MGT;YMGB;Milingimbi Airport;-12.0944444444, 134.893611111
GOV;YPGV;Gove Airport;-12.27, 136.818333333
PKT;YPKT;Port Keats Airfield;-14.2483333333, 129.528333333
GPN;YGPT;Garden Point Airport;-11.3992, 130.425
RAM;YRNG;Ramingining Airport;-12.3566666667, 134.898333333
RPM;YNGU;Ngukurr Airport;-14.7228, 134.747
TCA;YTNK;Tennant Creek Airport;-19.6344444444, 134.183333333
AYQ;YAYE;Ayers Rock Airport;-25.1861111111, 130.975555556
VCD;YVRD;Victoria River Downs Airport;-16.4033333333, 131.003333333
ARY;YARA;Ararat Airport;-37.31, 142.988333333
AVV;YMAV;Avalon Airport;-38.039444, 144.469444
;YBSS;Bacchus Marsh Airfield;-37.7333333333, 144.421666667
BSJ;YBNS;Bairnsdale Airport;-37.8875, 147.567777778
;YBLT;Ballarat Airport;-37.5116666667, 143.791111111
;YBRS;Barwon Heads Airport;-38.2583333333, 144.426666667
BLN;YBLA;Benalla Airport;-36.5516666667, 146.006666667
CYG;YCRG;Corryong Airport;-36.1827777778, 147.887777778
ECH;YECH;Echuca Airport;-36.1572222222, 144.761944444
HTU;YHPN;Hopetoun Airport;-35.715, 142.36
HSM;YHSM;Horsham Airport;-36.6697222222, 142.172777778
KRA;YKER;Kerang Airport;-35.7516666667, 143.94
TGN;YLTV;Latrobe Valley Airport;-38.2072222222, 146.470277778
;YLEG;Leongatha Airport;-38.495, 145.86
XMC;YMCO;Mallacoota Airport;-37.5988888889, 149.720833333
HGL;EDXH;Heligoland Airport;54.1858333333, 7.91444444444
GWT;EDXW;Sylt Airport;54.9133333333, 8.34055555556
EHA;KEHA;Elkhart–Morton County Airport;37.0008333333, -101.88
HME;DAUH;Oued Irara–Krim Belkacem Airport;31.673889, 6.140556
LTD;HLTD;Ghadames Airport;30.1505555556, 9.7
;;Tobruk Airport;32.0961, 23.8375
MXX;ESKM;Mora–Siljan Airport;60.9586111111, 14.5111111111
LYC;ESNL;Lycksele Airport;64.5480555556, 18.7161111111
VOL;LGBL;Nea Anchialos National Airport;39.2194444444, 22.7941666667
MQN;ENRA;Mo i Rana Airport, Røssvoll;66.3638888889, 14.3016666667
NVK;ENNK;Narvik Airport, Framnes;68.4358333333, 17.3880555556
ETH;LLET;Eilat Airport;29.5583333333, 34.9588888889
MVQ;UMOO;Mogilev Airport;53.955, 30.095
;;Polotsk Airport;55.4116666667, 28.7483333333
URA;UARR;Oral Ak Zhol Airport;51.1508333333, 51.5430555556
JDG;RKPD;Jeongseok Airport;33.3983333333, 126.713055556
GME;UMGG;Gomel Airport;52.5269444444, 31.0166666667
SKT;OPST;Sialkot International Airport;32.5355555556, 74.3638888889
VII;VVVH;Vinh Airport;18.736667, 105.670833
;LIDF;Fano Airport;43.82378333, 13.02558056
BMA;ESSB;Stockholm Bromma Airport;59.3544444444, 17.9397222222
VST;ESOW;Stockholm Västerås Airport;59.5894444444, 16.6336111111
;;Ubari Airport;26.5672, 12.8231
;;Kufra Airport;24.1767, 23.3133
SRX;HLGD;Ghardabiya Air Base;31.0633333333, 16.595
MGL;EDLN;Düsseldorf Mönchengladbach Airport;51.2302777778, 6.50444444444
SBH;TFFJ;Gustaf III Airport;17.9044444444, -62.8438888889
BOO;ENBO;Bodø Airport;67.2691666667, 14.3652777778
MRA;HLMS;Misrata Airport;32.3255555556, 15.0597222222
;;Ebolowa Airport;2.876, 11.185
PBH;VQPR;Paro Airport;27.4088194444, 89.4205805556
VCS;VVCS;Con Dao Airport;8.7325, 106.628888889
;;Nusawiru Airport;-7.72038889, 108.48993889
CXP;WIHL;Tunggul Wulung Airport;-7.63333333333, 109.05
LYR;ENSB;Svalbard Airport, Longyear;78.2461111111, 15.4655555556
THD;;Tho Xuan Airport;19.9016666667, 105.467777778
;KTTS;Shuttle Landing Facility;28.615, -80.6945
TST;VTST;Trang Airport;7.50874444444, 99.6165777778
AKT;LCRA;RAF Akrotiri;34.5905555556, 32.9877777778
KHI;OPKC;Jinnah International Airport;24.9066666667, 67.1608333333
KTM;VNKT;Tribhuvan International Airport;27.6963888889, 85.3588888889
SCW;UUYY;Syktyvkar Airport;61.6416666667, 50.8383333333
DOY;ZSDY;Dongying Shengli Airport;37.5102777778, 118.784444444
ZLT;;La Tabatière Airport;50.8308333333, -58.9755555556
TPJ;VNTJ;Taplejung Airport;27.35, 87.6666666667
CHG;ZYCY;Chaoyang Airport;41.53805556, 120.435
YCD;CYCD;Nanaimo Airport;49.0544, -123.87
OES;SAVN;Antoine de Saint Exupéry Airport;-40.75138889, -65.03444444
FBU;ENFB;Oslo Airport, Fornebu;59.8833333333, 10.6166666667
BXU;RPME;Bancasi Airport;8.95132222222, 125.477972222
AJK;OIHR;Arak Airport;34.13814722, 49.84729167
JIC;ZLJC;Jinchang Jinchuan Airport;38.5419, 102.348
YZY;;Zhangye Ganzhou Airport;38.8019444444, 100.675
NZA;FNZG;Nzagi Airport;-7.71652777778, 21.3578611111
CBT;FNCT;Catumbela Airport;-9.42947222222, 20.3111111111
VHC;FNSA;Henrique de Carvalho Airport;-9.68894444444, 20.4315555556
HIJ;RJOA;Hiroshima Airport;34.4361111111, 132.919444444
BJW;WATB;Turelelo Soa Airport;-8.7125, 121.0625
;OBBS;Isa Air Base;25.9183333333, 50.5905555556
MNL;RPLL;Ninoy Aquino International Airport;14.508611, 121.019444
IST;LTBA;Istanbul Atatürk Airport;40.9761111111, 28.8141666667
XQU;;Qualicum Beach Airport;49.3372, -124.394
YPR;CYPR;Prince Rupert Airport;54.2858333333, -130.444722222
BWI;KBWI;Baltimore–Washington International Airport;39.175278, -76.668333
;;Niagara Central Airport;42.98, -79.3247222222
PRG;LKPR;Václav Havel Airport Prague;50.1008333333, 14.26
NHT;EGWU;RAF Northolt;51.5530555556, -0.418333333333
KWG;UKDR;Kryvyi Rih International Airport;48.0430555556, 33.2069444444
EBA;LIRJ;Marina di Campo Airport;42.7602777778, 10.2394444444
MMY;ROMY;Miyako Airport;24.7827777778, 125.295
YTZ;CYTZ;Billy Bishop Toronto City Airport;43.6275, -79.3961111111
KGF;UAKK;Sary-Arka Airport;49.6713888889, 73.3363888889
;CYZD;Downsview Airport;43.7428, -79.4656
MOZ;NTTM;Moorea Airport;-17.4894444444, -149.762222222
MUB;FBMN;Maun Airport;-19.9725, 23.4311111111
;EERU;Ruhnu Airfield;57.784, 23.266
